step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
415.0,42,1809.0,36.18,1.4441233082732574,15,2534.0,0.1379437974572609,2,204.0,0.09127251021290354,13,1401.0,0.0,12,826.0,0.14006516299911717,42,4965.0
420.0,40,1995.0,37.64150943396226,2.570214544616223,15,2609.0,0.10115284223536261,0,98.0,0.6488248991840903,13,1466.0,0.11981617276907842,12,884.0,0.0,40,5057.0
425.0,40,1858.0,32.59649122807018,3.0430914366643416,15,2684.0,0.13325006597898215,1,49.0,0.6402183139061348,15,1537.0,0.07961104340039492,9,822.0,0.02977350521595996,40,5092.0
430.0,37,1617.0,29.944444444444443,3.0545543563618938,16,2762.0,0.10725113018586098,1,54.0,0.45357426352099556,16,1615.0,0.09476297984523648,4,533.0,0.19763061501404675,37,4964.0
435.0,30,1334.0,24.703703703703702,3.0772597126658305,13,2544.0,0.11219477743885059,0,0.0,0.012108352789814005,16,1695.0,0.11227795655805722,1,542.0,0.27665496364813474,30,4781.0
440.0,31,1095.0,20.27777777777778,2.823616478138011,10,1750.0,0.05635347117372979,1,7.0,0.6757617420298303,17,1778.0,0.008020655325150708,3,552.0,0.11741076603258278,31,4087.0
445.0,30,856.0,16.46153846153846,2.931995545627535,5,1780.0,0.14915694284026695,0,2.0,0.9186091309431847,18,1868.0,0.010785881432681542,7,579.0,0.0046154342876661295,30,4229.0
450.0,30,870.0,16.11111111111111,3.1435696579614754,3,1800.0,0.22346582281551694,1,3.0,0.4862110504938117,18,1959.0,0.08761010960099065,8,620.0,0.1896874150140294,30,4382.0
455.0,35,842.0,14.771929824561404,3.1813970926067845,7,1826.0,0.25323186673542397,4,15.0,0.3841011025143085,16,1782.0,0.10878914376072235,8,660.0,0.19017980646012167,35,4283.0
460.0,33,705.0,12.368421052631579,2.9017388649898668,10,1868.0,0.15655858994681945,4,35.0,0.19832706614007253,11,1350.0,0.17603262463374073,8,702.0,0.25683969826404895,33,3955.0
465.0,34,551.0,9.183333333333334,2.23198107707888,13,1925.0,0.12401184001583558,2,36.0,0.06591487853453175,9,1172.0,0.18571121685937902,10,749.0,0.1724094133488747,34,3882.0
470.0,38,546.0,8.806451612903226,2.3094232547015143,16,1998.0,0.09618166363675315,1,18.0,0.5118666947072907,9,1218.0,0.13393502920120182,12,796.0,0.09216775894833627,38,4030.0
475.0,38,654.0,9.909090909090908,2.8578911428117415,18,2086.0,0.13404607923663667,1,13.0,0.6415209270213053,7,1246.0,0.11983911738735144,12,851.0,0.04240279984449196,38,4196.0
480.0,42,854.0,12.93939393939394,2.966296251915542,20,2184.0,0.08308079789784388,1,18.0,0.6252475915247189,9,1271.0,0.07419743877815596,12,913.0,0.07192031555922072,42,4386.0
485.0,45,1071.0,16.734375,2.56698648909783,19,2279.0,0.04767281632680249,1,23.0,0.41266608426361917,13,1327.0,0.06335070733186371,12,973.0,0.13228600854409298,45,4602.0
490.0,45,1234.0,19.58730158730159,2.879163529575671,19,2371.0,0.04805349914931934,2,32.0,0.32052507765176846,12,1196.0,0.22999539111385975,12,1031.0,0.07123782147860785,45,4630.0
495.0,40,1340.0,21.9672131147541,3.004247754517149,19,2466.0,0.04727011231565591,1,34.0,0.31399616261090796,8,859.0,0.3258178672122317,12,1093.0,0.12488231770331797,40,4452.0
500.0,37,1445.0,24.083333333333332,2.5223036441071627,19,2561.0,0.05,1,38.0,0.3277099844657863,4,770.0,0.3202277941101232,13,1157.0,0.14274508710992445,37,4526.0
505.0,40,1576.0,25.419354838709676,3.0295635752708687,19,2656.0,0.07770828045972555,0,0.0,0.9695607929330843,5,790.0,0.20017007088648206,16,1231.0,0.16575486831307834,40,4677.0
510.0,44,1790.0,28.41269841269841,2.6082830048907377,19,2751.0,0.0762291679127091,0,0.0,0.9511693730335447,9,829.0,0.03779407587316442,16,1311.0,0.06743255943296628,44,4891.0
515.0,45,1813.0,29.241935483870968,1.8714060659970664,17,2492.0,0.06304998273390156,0,0.0,0.9590642924863977,12,885.0,0.001236468827943473,16,1390.0,0.06332815276680495,45,4767.0
520.0,42,1713.0,28.55,2.7039061843292282,13,1931.0,0.10677103371684678,0,2.0,0.8834009998364414,13,950.0,0.06836923164519886,16,1469.0,0.15943467238353773,42,4352.0
525.0,38,1650.0,27.049180327868854,3.2027458886244893,9,1977.0,0.1775969398491183,0,2.0,0.9441420414365792,13,1015.0,0.12295582883830813,16,1549.0,0.10383140803403405,38,4543.0
530.0,36,1534.0,25.147540983606557,2.842907946951393,6,2006.0,0.17155725859769866,1,3.0,0.35461784217655135,13,1082.0,0.19899714703351726,16,1629.0,0.0,36,4720.0
535.0,38,1579.0,26.316666666666666,2.4873309937730466,5,1723.0,0.23554382633559476,3,14.0,0.2509167814270567,14,1152.0,0.14437613657245446,16,1709.0,0.0,38,4598.0
540.0,39,1741.0,30.017241379310345,1.883010693032361,5,1267.0,0.15569527454583484,3,31.0,0.4712541671096053,15,1227.0,0.10278170566298378,16,1789.0,0.0,39,4314.0
545.0,40,1916.0,30.903225806451612,2.138076533753307,3,1285.0,0.20693610747386681,3,46.0,0.3713584598520842,18,1310.0,0.1288302884892047,16,1869.0,0.0,40,4510.0
550.0,41,2094.0,32.71875,2.1558236877084607,4,1303.0,0.26767673715785856,5,65.0,0.03660047269374557,16,1389.0,0.17599309964694854,16,1949.0,0.05767220004333002,41,4706.0
555.0,46,2316.0,34.56716417910448,2.352389714681159,7,1334.0,0.22785391250796458,6,94.0,0.22201893324743996,17,1460.0,0.11923560194684353,16,2029.0,0.0,46,4917.0
560.0,49,2195.0,31.357142857142858,2.4661942016756333,12,1384.0,0.1236277011916482,6,124.0,0.2309897874767774,18,1548.0,0.14317653708602998,13,1887.0,0.028238322580618414,49,4943.0
565.0,46,1830.0,25.068493150684933,2.985575810142721,14,1452.0,0.018755058266709437,6,154.0,0.1310809001630865,18,1638.0,0.16176184971930715,8,1327.0,0.12265436634869759,46,4571.0
570.0,43,1583.0,21.684931506849313,2.8167954807847377,15,1519.0,0.05661955756950726,6,184.0,0.13213680895752272,19,1732.0,0.11057508592035888,3,1352.0,0.24873326500252205,43,4787.0
575.0,48,1604.0,22.591549295774648,2.332329529467052,17,1600.0,0.0004283800553663511,6,214.0,0.12651739353826946,22,1836.0,0.1326105346462405,3,1366.0,0.18047513226716394,48,5016.0
580.0,53,1863.0,27.0,1.9465111408262337,18,1690.0,2.4303820529311515e-06,6,244.0,0.22013679977616663,23,1949.0,0.09917673714465586,6,1390.0,0.14516407049500749,53,5273.0
585.0,57,2141.0,30.585714285714285,1.5903739702267348,18,1780.0,0.0,6,274.0,0.18809815473303967,24,2065.0,0.0001235291494949794,9,1433.0,0.08250919118766298,57,5552.0
590.0,62,2442.0,35.911764705882355,1.0693741813546165,18,1870.0,0.0,8,310.0,0.10387568716058715,24,2185.0,0.0,12,1488.0,0.0002993064153450273,62,5853.0
595.0,57,2666.0,39.791044776119406,1.0702344118256608,18,1960.0,0.0,6,339.0,0.13876217808190475,24,2305.0,0.0,9,1325.0,0.032294162183527104,57,5929.0
600.0,52,2843.0,43.738461538461536,1.6940941957938556,18,2050.0,0.049986340824374524,6,364.0,0.13845039435917214,24,2425.0,3.435005580429997e-07,4,992.0,0.2770382870515493,52,5831.0
605.0,50,3030.0,46.61538461538461,1.6222758563449846,18,2140.0,0.05157013644203049,6,394.0,0.028881057565492613,24,2545.0,0.0,2,1007.0,0.2988775130630782,50,6086.0
610.0,55,3294.0,51.46875,1.0273639137144959,19,2231.0,0.04792250813152166,7,427.0,0.0,24,2665.0,0.0,5,1025.0,0.16873643568713817,55,6348.0
615.0,51,3016.0,46.4,1.4560290266285087,16,2052.0,0.1055468058794691,6,454.0,0.0,21,2557.0,0.0395982829544165,8,1059.0,0.0033100020274972296,51,6122.0
620.0,43,2368.0,35.878787878787875,2.6172492016346816,11,1673.0,0.12083904792508932,6,486.0,0.21322286930617618,17,2227.0,0.0922348924431288,9,1107.0,0.2607517127351554,43,5493.0
625.0,42,1978.0,30.43076923076923,1.5983426063675021,8,1707.0,0.08963219860837454,7,517.0,0.1395307293046165,17,2308.0,0.060634722239552914,10,1154.0,0.09358148074201567,42,5686.0
630.0,46,1954.0,29.606060606060606,1.507383203580568,7,1741.0,0.1461966481970875,8,555.0,0.09780148552805228,19,2400.0,0.0992570778149322,12,1210.0,3.792231515125332e-05,46,5906.0
635.0,53,2094.0,31.727272727272727,1.3705164728286323,8,1776.0,0.11942832920418449,9,600.0,0.0957384861520709,24,2513.0,0.09911075300584214,12,1270.0,0.0,53,6159.0
640.0,53,2259.0,33.71641791044776,1.3209803111463856,11,1826.0,0.12647414710503094,9,645.0,0.0921984764839413,24,2631.0,0.03104775962128242,9,1110.0,0.025678878894387,53,6212.0
645.0,52,2362.0,34.73529411764706,1.973987809454475,15,1893.0,0.05804142391373338,9,690.0,0.09746154213599816,24,2751.0,0.0,4,834.0,0.21359401229625236,52,6168.0
650.0,51,2523.0,37.10294117647059,2.176152921189083,16,1972.0,0.00013230105233433815,9,735.0,0.09880582886045083,24,2871.0,0.07527338353051691,2,847.0,0.23066712563200636,51,6425.0
655.0,50,2691.0,41.4,1.257831541938198,13,1822.0,0.03397411563914762,9,780.0,0.0532568629678446,24,2991.0,0.08463658755176819,4,863.0,0.15027655701872972,50,6456.0
660.0,51,2809.0,43.215384615384615,1.2922445019342788,9,1484.0,0.0794902354293738,9,827.0,0.1600415976151836,25,3113.0,4.0416988217897196e-05,8,896.0,0.0041841923388921285,51,6320.0
665.0,50,2967.0,44.95454545454545,1.2723864950090686,7,1525.0,0.08473614400154232,9,872.0,0.06612358745394688,25,3238.0,0.014978632038432091,9,941.0,0.09266501406499808,50,6576.0
670.0,53,3132.0,46.05882352941177,1.083423377080786,6,1561.0,0.13661080716004045,12,925.0,0.0004247590068574636,26,3365.0,0.002012195496687103,9,986.0,0.097395719091033,53,6837.0
675.0,57,3383.0,50.492537313432834,0.6393410686114366,8,1596.0,0.12913045700290057,12,985.0,0.06924589073996781,27,3498.0,3.694412377351771e-06,10,1032.0,0.000389362966540181,57,7111.0
680.0,58,3585.0,51.214285714285715,0.7849661789764596,12,1648.0,0.07880304294749259,12,1045.0,0.1365909423146539,27,3633.0,0.0,7,895.0,0.034585053522592814,58,7221.0
685.0,57,3740.0,51.94444444444444,1.6051845143624162,16,1718.0,0.09753577213395391,12,1105.0,0.12272627688674172,27,3768.0,0.0,2,583.0,0.172094455076423,57,7174.0
690.0,58,3987.0,55.375,1.8466233253162312,18,1804.0,0.06865257156869418,12,1165.0,0.11837643641466108,27,3903.0,0.0,1,429.0,0.37997087351421305,58,7301.0
695.0,60,4269.0,60.12676056338028,1.3353027724424087,17,1877.0,0.06340853727103149,12,1225.0,0.0,27,4038.0,0.0,4,443.0,0.274670710571623,60,7583.0
700.0,58,4346.0,62.08571428571429,1.6330559061244152,17,1962.0,0.050020400406673146,12,1285.0,0.07090148121679343,24,3906.0,0.09829377119805169,5,467.0,0.24356012319673506,58,7620.0
705.0,50,4143.0,58.352112676056336,2.334188832622721,14,1832.0,0.07147620841638443,12,1345.0,0.13305861277368683,19,3509.0,0.14517921376319307,5,494.0,0.37750501603978986,50,7180.0
